Customer_ID,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,snapshot_date
CUS_0x1145,17975.32,1444.9434,6,5,32,9,"Student Loan, Payday Loan, Not Specified, Mortgage Loan, Home Equity Loan, Payday Loan, Payday Loan, Not Specified, and Credit-Builder Loan",61,25,8.9,13,Bad,1263.1,25.681799,12 Years and 5 Months,Yes,76.450325,176.77621,Low_spent_Small_value_payments,181.26779,2024-08-01
CUS_0x122c,36346.13,3188.8442,8,6,11,3,"Credit-Builder Loan, Home Equity Loan, and Auto Loan",21,15,10.54,4,Good,1252.46,28.066704,22 Years and 2 Months,NM,89.061554,110.509705,High_spent_Medium_value_payments,369.31317,2024-08-01
CUS_0x12cc,20521.36,1721.1133,10,8,17,3,"Personal Loan, Payday Loan, and Mortgage Loan",21,12,14.94,10,Standard,1896.78,22.724434,10 Years and 9 Months,Yes,42.152042,110.963356,!@9#%8,244.4193,2024-08-01
CUS_0x1370,10216.36,587.0158,10,8,22,5,"Mortgage Loan, Personal Loan, Student Loan, Student Loan, and Personal Loan",20,23,19.55,6,Bad,3703.66,29.456738,12 Years and 2 Months,Yes,121.22973,26.723717,High_spent_Medium_value_payments,262.3304,2024-08-01
CUS_0x13ce,18710.74,1363.2284,2,6,8,4,"Payday Loan, Credit-Builder Loan, Payday Loan, and Student Loan",1,8,5.13,5,Good,830.7,22.73838,29 Years and 8 Months,No,50.32093,63.221516,Low_spent_Large_value_payments,292.7804,2024-08-01
CUS_0x147a,14384.4,1218.7,3,7,19,6,"Credit-Builder Loan, Debt Consolidation Loan, Not Specified, Credit-Builder Loan, Debt Consolidation Loan, and Auto Loan",20,17,11.11,5,Standard,1465.3,35.847866,7 Years and 3 Months,Yes,65.497086,10.794806,High_spent_Large_value_payments,285.57812,2024-08-01
CUS_0x1510,53218.86,4715.905,10,9,25,2,"Not Specified, and Credit-Builder Loan",26,19,8.67,12,Bad,2623.47,35.49573,7 Years and 10 Months,Yes,56.38856,146.7492,High_spent_Medium_value_payments,518.45276,2024-08-01
CUS_0x1572,83384.2,7080.683,3,9,24,3,"Student Loan, Debt Consolidation Loan, and Personal Loan",27,11,15.14,9,Standard,2613.85,28.455566,12 Years and 6 Months,Yes,112.010414,105.62449,High_spent_Large_value_payments,730.4334,2024-08-01
CUS_0x159b,55670.07,4395.1724,3,10,26,3,"Home Equity Loan, Debt Consolidation Loan, and Mortgage Loan",14,19,7.7,11,Standard,2074.85,37.91148,7 Years and 0 Months,Yes,136.77475,146.39845,High_spent_Medium_value_payments,406.34406,2024-08-01
CUS_0x1621,18329.93,1312.4941,7,6,6,6,"Personal Loan, Home Equity Loan, Credit-Builder Loan, Student Loan, Debt Consolidation Loan, and Mortgage Loan",17,11,18.41,6,Standard,161.04,35.154606,19 Years and 11 Months,NM,51.967094,176.12276,Low_spent_Small_value_payments,193.15958,2024-08-01
